0.00.021.768 W Setting 'enable_thinking' via --chat-template-kwargs is deprecated. Use --reasoning on / --reasoning off instead.
0.00.021.970 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.022.041 I srv          init: The UI is disabled
0.00.022.042 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.022.097 W srv  llama_server: -----------------
0.00.022.098 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.022.098 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.022.099 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.022.099 W srv  llama_server: -----------------
0.00.023.312 I srv    load_model: loading model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.448.504 I cmn          init: llama threadpool init, n_threads = 16
0.03.626.808 I common_speculative_init_result: creating MTP draft context against the target model '/llm/models/Qwen3.8/27B/Q8_0/Qwen3.8-27B-Q8_0.gguf'
0.03.645.586 W srv    load_model: cache_reuse is not supported by this context, it will be disabled
0.03.833.453 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 16384, kv_unified = 'false'
0.03.863.142 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.03.863.174 I srv  llama_server: model loaded
0.03.863.180 I srv  llama_server: listening on http://127.0.0.1:8997
0.04.043.583 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.06.380.252 I slot print_timing: id  0 | task 323 | n_gen =    181, tg =  14.67 t/s, tg_3s =  13.95 t/s
1.09.433.840 I slot print_timing: id  0 | task 323 | n_gen =    228, tg =  14.82 t/s, tg_3s =  15.39 t/s
1.12.486.176 I slot print_timing: id  0 | task 323 | n_gen =    269, tg =  14.59 t/s, tg_3s =  13.43 t/s
1.15.539.234 I slot print_timing: id  0 | task 323 | n_gen =    310, tg =  14.42 t/s, tg_3s =  13.43 t/s
1.18.591.923 I slot print_timing: id  0 | task 323 | n_gen =    350, tg =  14.26 t/s, tg_3s =  13.10 t/s
1.21.644.708 I slot print_timing: id  0 | task 323 | n_gen =    391, tg =  14.17 t/s, tg_3s =  13.43 t/s
1.24.697.541 I slot print_timing: id  0 | task 323 | n_gen =    431, tg =  14.06 t/s, tg_3s =  13.10 t/s
1.27.785.097 I slot print_timing: id  0 | task 323 | n_gen =    472, tg =  13.99 t/s, tg_3s =  13.28 t/s
1.30.840.772 I slot print_timing: id  0 | task 323 | n_gen =    520, tg =  14.13 t/s, tg_3s =  15.71 t/s
1.33.895.100 I slot print_timing: id  0 | task 323 | n_gen =    559, tg =  14.03 t/s, tg_3s =  12.77 t/s
1.36.950.097 I slot print_timing: id  0 | task 323 | n_gen =    591, tg =  13.77 t/s, tg_3s =  10.47 t/s
1.40.004.551 I slot print_timing: id  0 | task 323 | n_gen =    630, tg =  13.71 t/s, tg_3s =  12.77 t/s
1.43.059.123 I slot print_timing: id  0 | task 323 | n_gen =    668, tg =  13.63 t/s, tg_3s =  12.44 t/s
1.45.688.881 I slot print_timing: id  0 | task 323 | prompt eval time =     577.76 ms /    82 tokens (    7.05 ms per token,   141.93 tokens per second)
1.45.688.885 I slot print_timing: id  0 | task 323 |        eval time =   51575.14 ms /   700 tokens (   73.78 ms per token,    13.55 tokens per second)
1.45.688.885 I slot print_timing: id  0 | task 323 |       total time =   52152.89 ms /   782 tokens
1.45.688.886 I slot print_timing: id  0 | task 323 |    graphs reused =        647
1.45.688.891 I slot print_timing: id  0 | task 323 | draft acceptance = 0.53789 (  362 accepted /   673 generated), mean len =  2.07
1.45.688.943 I slot      release: id  0 | task 323 | stop processing: n_tokens = 781, truncated = 0
1.45.690.532 I srv    operator(): operator(): cleaning up before exit...
